config,AUROC,AUPRC,F1,FAR
Q-TRACE (full),0.6764807870370371,0.8565286341339561,0.04929577464788732,0.8275
Q-TRACE - physics,0.6377613425925925,0.8439716715787509,0.015982364287682557,0.9466666666666667
Q-TRACE - quantum,0.6735171296296296,0.8548051439641249,0.029017246099096634,0.7966666666666666
Q-TRACE - temporal,0.6441972222222222,0.8353638317273224,0.018712162905888827,0.83
Q-TRACE - uncertainty,0.6863474537037036,0.8643924833616485,0.0273972602739726,0.8275
