split,model,AUROC,AUPRC,F1,FAR
known (val),XGBoost,0.6691120370370371,0.8640663037076345,0.8544343270550081,0.7641666666666667
known (val),RandomForest,0.6102895833333333,0.8594710227726912,0.8122071672787134,0.9275
known (val),LogisticRegression,0.7768155092592592,0.9262466450179101,0.8548252415603006,0.9758333333333333
known (val),SVM,0.7271402777777779,0.8870461690180128,0.8571428571428571,0.6991666666666667
known (val),LSTM,0.7432758101851852,0.9070208771446635,0.8435476584851679,0.9025
known (val),GRU,0.6304059027777779,0.8495857829715663,0.7904774786960639,1.0
known (val),TemporalCNN,0.7679630787037037,0.9204588171069855,0.8571428571428571,0.805
known (val),IsolationForest,0.6366069444444444,0.8236141653037821,0.5825458588104503,0.9191666666666667
known (val),OneClassSVM,0.54,0.8130554955847714,0.41025641025641024,0.9
known (val),Autoencoder,0.7200523148148148,0.8946186234854978,0.09422975119110641,0.765
known (val),QuantumKernel,0.4115617715617716,0.7179074699095096,0.8798185941043084,0.8909090909090909
known (val),VQC,0.44843822843822845,0.7818493544851925,0.5838509316770186,0.9636363636363636
known (val),Q-TRACE,0.6731534722222222,0.880509496789494,0.13471502590673576,0.8958333333333334
zero_day,XGBoost,0.5991861111111111,0.8278980967457487,0.7957385242667369,0.8991666666666667
zero_day,RandomForest,0.620100462962963,0.8454007639931792,0.7716431677427856,0.9
zero_day,LogisticRegression,0.4963708333333333,0.769473231090404,0.8379752966820053,0.9816666666666667
zero_day,SVM,0.5182707175925927,0.7563581275206707,0.8263267557298689,0.9991666666666666
zero_day,LSTM,0.6073380787037037,0.8386155732823826,0.6565056954917375,0.8
zero_day,GRU,0.5677987268518518,0.7444810205727754,0.7511778563015312,0.8166666666666667
zero_day,TemporalCNN,0.5059664351851851,0.7504893974981565,0.8571428571428571,0.9
zero_day,IsolationForest,0.5316627314814815,0.7231426737940272,0.39638600538254515,0.6591666666666667
zero_day,OneClassSVM,0.41666666666666663,0.6622644542869212,0.37209302325581395,0.8
zero_day,Autoencoder,0.7544091435185185,0.9085136286752711,0.07692307692307693,0.8866666666666667
zero_day,QuantumKernel,0.4269463869463869,0.7825643559700114,0.8662131519274376,0.9636363636363636
zero_day,VQC,0.3524941724941725,0.6805634245148388,0.5907692307692308,0.9454545454545454
zero_day,Q-TRACE,0.627305324074074,0.81760306503929,0.10545645330535153,0.8675
physical_shift,XGBoost,0.5856396990740741,0.773198561805484,0.8528311621307881,0.7533333333333333
physical_shift,RandomForest,0.5923418981481482,0.8111185579655293,0.8422313939555319,0.895
physical_shift,LogisticRegression,0.7327298611111112,0.9043392387030285,0.793068881569526,0.8375
physical_shift,SVM,0.6864870370370371,0.8624256635497642,0.23788546255506607,0.7891666666666667
physical_shift,LSTM,0.6927467592592593,0.8861924122377731,0.6618106139438086,0.7
physical_shift,GRU,0.6289576388888889,0.8228131411586155,0.7203518350015166,0.9908333333333333
physical_shift,TemporalCNN,0.5913498842592593,0.83683538191724,0.8608297153883261,0.7941666666666667
physical_shift,IsolationForest,0.5127875,0.8044927797927326,0.6217791411042944,0.8958333333333334
physical_shift,OneClassSVM,0.5466666666666666,0.7849381308216103,0.5116279069767442,0.9
physical_shift,Autoencoder,0.6032925925925926,0.8396760211314654,0.14432989690721648,0.8725
physical_shift,QuantumKernel,0.5342657342657342,0.8039805101093367,0.8764044943820225,0.8727272727272727
physical_shift,VQC,0.4706759906759907,0.7944228797335662,0.60625,1.0
physical_shift,Q-TRACE,0.5666048611111111,0.8179756364669011,0.1031578947368421,0.8983333333333333
compositional,XGBoost,0.7124270833333333,0.9222705515269145,0.833705899504325,1.0
compositional,RandomForest,0.82089375,0.9539476268089471,0.9014612954186414,0.6283333333333333
compositional,LogisticRegression,0.8467574652777778,0.9619391329516209,0.8881676557863502,0.8191666666666667
compositional,SVM,0.5873638888888889,0.865839020583159,0.8888888888888888,0.8991666666666667
compositional,LSTM,0.7466056423611112,0.9271732411739467,0.8478396994364433,0.7991666666666667
compositional,GRU,0.6905907986111111,0.9112050450449989,0.8183729241118352,0.8991666666666667
compositional,TemporalCNN,0.7948797743055556,0.9484592817552289,0.8888888888888888,0.8316666666666667
compositional,IsolationForest,0.6316605902777778,0.8515499260939576,0.606429684180711,0.9991666666666666
compositional,OneClassSVM,0.6224999999999999,0.8664733011367061,0.4727272727272727,0.9
compositional,Autoencoder,0.7739723958333333,0.9438640229128654,0.012422360248447204,0.9733333333333334
compositional,QuantumKernel,0.5322153574580759,0.8250009259469482,0.9035087719298246,0.9772727272727273
compositional,VQC,0.5220653133274492,0.8383140729168072,0.6055045871559633,0.9545454545454546
compositional,Q-TRACE,0.7733652777777777,0.9368260934399031,0.018166804293971925,0.8841666666666667
