config,AUROC,AUPRC,F1,FAR
Q-TRACE (full),0.627305324074074,0.81760306503929,0.10545645330535153,0.8675
Q-TRACE - physics,0.7360256944444444,0.9003781389556281,0.03600654664484452,0.9583333333333334
Q-TRACE - quantum,0.6508469907407407,0.8325954830176591,0.055105348460291734,0.8308333333333333
Q-TRACE - temporal,0.6022648148148149,0.7975337436156881,0.05136523384698567,0.8733333333333333
Q-TRACE - uncertainty,0.644218287037037,0.8337622836844344,0.04188196899646451,0.8566666666666667
