split,model,AUROC_mean,AUROC_std,AUROC_count,AUPRC_mean,AUPRC_std,AUPRC_count,F1_mean,F1_std,F1_count,FAR_mean,FAR_std,FAR_count
compositional,Autoencoder,0.7767964583333333,0.03818180431992724,5,0.9421298126679443,0.011798804583310635,5,0.02390020404561864,0.012070578926503615,5,0.8926666666666667,0.09375166665185214,5
compositional,GRU,0.6474448263888889,0.04940194678218314,5,0.8599937387805936,0.04020223279473293,5,0.8262148441853355,0.006640157999958524,5,0.9339999999999999,0.06041925281821275,5
compositional,IsolationForest,0.7659556249999999,0.12340825927534935,5,0.9129521785295068,0.06816729537122919,5,0.6256008143373027,0.05391247464584059,5,0.7831666666666667,0.1671954112873782,5
compositional,LSTM,0.6832446875,0.07804528998099146,5,0.8839547217167063,0.04374120624029846,5,0.8248902973719299,0.034442296263180565,5,0.8995,0.14083407297636147,5
compositional,LogisticRegression,0.7921911111111111,0.04354272169293352,5,0.9454258903225398,0.013471631210160321,5,0.8780023565786184,0.016112010155735233,5,0.8136666666666666,0.06998660586140752,5
compositional,OneClassSVM,0.5193791666666666,0.10675444020494992,5,0.8029616063729815,0.04746710276903967,5,0.39679509170075206,0.07993594925939441,5,0.8800000000000001,0.04472135954999578,5
compositional,Q-TRACE,0.7633343402777777,0.0564476706180605,5,0.9309082767625414,0.017392844501543728,5,0.05484024703058064,0.04216449548331961,5,0.8654999999999999,0.05065748272028086,5
compositional,QuantumKernel,0.4824691085613416,0.10459184288549757,5,0.8277707293949499,0.04424942899518024,5,0.8900386547525814,0.013109625637698567,5,0.9681818181818181,0.025913077843162238,5
compositional,RandomForest,0.721644513888889,0.06853456905294901,5,0.916996996493852,0.0279578953749016,5,0.8665216606642,0.029110163802332455,5,0.82,0.15562486055326197,5
compositional,SVM,0.5945425347222223,0.05406662601891533,5,0.8691967819923396,0.026367262064480174,5,0.8664009381620282,0.019115319303554184,5,0.8426666666666668,0.05227929800599851,5
compositional,TemporalCNN,0.7647355208333333,0.06214611465684726,5,0.9340843632896334,0.021492221692558173,5,0.8594018401416477,0.018480451678254798,5,0.7961666666666667,0.18003240449059904,5
compositional,VQC,0.4724845542806707,0.07545499782889242,5,0.8159261538457663,0.04340336645051696,5,0.6238652658108139,0.018159628840243757,5,0.9227272727272726,0.05926547641093322,5
compositional,XGBoost,0.6573207465277778,0.038113435610957494,5,0.8829784817117676,0.037429844730282644,5,0.8561675489132827,0.027116883406719527,5,0.9001666666666667,0.11230909728661045,5
known (val),Autoencoder,0.7426066666666667,0.03398689126325419,5,0.9113247133615948,0.0159940428443255,5,0.06723859044292094,0.0212023914786453,5,0.8636666666666667,0.11673896569316994,5
known (val),GRU,0.7138681481481481,0.09510528481764233,5,0.8750588336795218,0.05251457519018494,5,0.8213706354237006,0.049879420460737886,5,0.8911666666666667,0.11191917966898159,5
known (val),IsolationForest,0.6438196759259259,0.1052627356454857,5,0.8420376221908599,0.047971786663298634,5,0.5309016870058171,0.12338556933143734,5,0.8688333333333335,0.1353449810258544,5
known (val),LSTM,0.7354564351851851,0.06813955729431576,5,0.902784140088728,0.02876242589637011,5,0.8067849948912059,0.05218194163244071,5,0.8766666666666666,0.16155386958466134,5
known (val),LogisticRegression,0.755277175925926,0.0846119887233606,5,0.9157958741239138,0.03334800585730614,5,0.8316978163069673,0.03512886828737211,5,0.8591666666666666,0.12418344405667675,5
known (val),OneClassSVM,0.5550899537037037,0.05769222387807891,5,0.800443579794031,0.03476768667167599,5,0.4209857180069946,0.12540777405942022,5,0.9,0.0,5
known (val),Q-TRACE,0.6986343518518519,0.06378118702139651,5,0.8918774848682407,0.02815480204572869,5,0.11630099052759449,0.02497711956800441,5,0.9148333333333334,0.033413445397524215,5
known (val),QuantumKernel,0.49344522144522146,0.1170079288220206,5,0.7910729863047804,0.05639250663406923,5,0.8696765899413783,0.00970277629759955,5,0.9163636363636364,0.055447093389006955,5
known (val),RandomForest,0.7006429166666667,0.10733006536600932,5,0.8925510987697367,0.03914483636378262,5,0.8297604501048423,0.03279656909009593,5,0.9056666666666666,0.16992584166826027,5
known (val),SVM,0.6907522222222223,0.10540693674605998,5,0.8746568269899511,0.05018717966518813,5,0.8224976989818138,0.045884933971945964,5,0.8193333333333334,0.13067586064593395,5
known (val),TemporalCNN,0.7227328703703704,0.05067714810376391,5,0.9013765661529998,0.020912932188565173,5,0.8205818633527879,0.023409676246812595,5,0.8135,0.08491499016990789,5
known (val),VQC,0.47659673659673657,0.06133767661153122,5,0.7771253329321351,0.0352741524886125,5,0.6141443691281169,0.0536505908411017,5,0.9527272727272728,0.030424000964875488,5
known (val),XGBoost,0.6667570601851852,0.1255918772527378,5,0.8667567205105611,0.057338852251995746,5,0.8476184769464907,0.015179306780332056,5,0.8048333333333334,0.07901388766820965,5
physical_shift,Autoencoder,0.681085462962963,0.07339098586609134,5,0.8793300215901712,0.03598668105755849,5,0.08718779373961978,0.04273372737645809,5,0.8583333333333334,0.036074768036522264,5
physical_shift,GRU,0.621296087962963,0.0786872567076192,5,0.8321998867784908,0.04734535606927331,5,0.7158220630849822,0.1544724414759181,5,0.9393333333333332,0.08694746178647832,5
physical_shift,IsolationForest,0.6037332407407408,0.06096688471036974,5,0.8398921167589632,0.02871377151788423,5,0.6382028507676805,0.1285432824745706,5,0.942,0.06153307601968587,5
physical_shift,LSTM,0.6669967824074073,0.12326533429029972,5,0.8583447302268793,0.0664634545352418,5,0.6580151373276049,0.10174885143008702,5,0.8308333333333333,0.14588332476484225,5
physical_shift,LogisticRegression,0.7087923611111111,0.07191725483066864,5,0.8976487099501803,0.025322673571178872,5,0.6212733077902834,0.2147444609240804,5,0.9135,0.0625316586485064,5
physical_shift,OneClassSVM,0.47866666666666663,0.11480902016440657,5,0.7597753043167841,0.06827976285635172,5,0.40284354296594194,0.14554452278319832,5,0.96,0.0547722557505166,5
physical_shift,Q-TRACE,0.6018447222222222,0.07116570762152433,5,0.8369659076083948,0.030782019445117617,5,0.08939773329809599,0.019443926103460334,5,0.9306666666666666,0.08501511303553287,5
physical_shift,QuantumKernel,0.48253613053613054,0.03526117943431598,5,0.7815214646185037,0.026703698312491662,5,0.8532069122925237,0.02825028905731422,5,0.9199999999999999,0.05835202376684079,5
physical_shift,RandomForest,0.5500026620370371,0.09803939817020434,5,0.8086034290850174,0.06229909536735537,5,0.8124793280034192,0.07719706341607446,5,0.8983333333333334,0.09919117344244342,5
physical_shift,SVM,0.5622239351851852,0.13943033120412965,5,0.8093540446988818,0.06471668379784883,5,0.5057242429408431,0.30141458169864993,5,0.8776666666666667,0.18001678162512144,5
physical_shift,TemporalCNN,0.6741828935185186,0.09898366657330238,5,0.8806619411074778,0.04043252295101624,5,0.635805372202764,0.14585463609024146,5,0.8336666666666666,0.10423930800486607,5
