split,model,AUROC,AUPRC,F1,FAR
known (val),XGBoost,0.4771019675925926,0.7808086281748785,0.826332288401254,0.9
known (val),RandomForest,0.5874178240740742,0.8533318722187087,0.7880357374077431,1.0
known (val),LogisticRegression,0.8522090277777778,0.9553279672401658,0.8556943242240633,0.815
known (val),SVM,0.7742273148148148,0.9178156148095189,0.8369351669941061,0.7975
known (val),LSTM,0.7175784722222223,0.8925014928646607,0.7883887252839714,0.9833333333333333
known (val),GRU,0.7524287037037037,0.8468358098968949,0.8719920261996298,0.8291666666666667
known (val),TemporalCNN,0.7069868055555556,0.9002336995585882,0.8123578975524943,0.7525
known (val),IsolationForest,0.6857270833333333,0.8527802554912272,0.5775862068965517,0.79
known (val),OneClassSVM,0.5766666666666667,0.7977020628399469,0.32432432432432434,0.9
known (val),Autoencoder,0.7852891203703704,0.9256730157261693,0.05563056980826357,0.7233333333333334
known (val),QuantumKernel,0.6470862470862471,0.8480281063357126,0.8578088578088578,0.9454545454545454
known (val),VQC,0.5502564102564103,0.8277573124444192,0.5814696485623003,0.9272727272727272
known (val),Q-TRACE,0.7532703703703703,0.9152199660336193,0.12695109261186263,0.8975
zero_day,XGBoost,0.6881945601851851,0.8704496471343381,0.8253269454875048,0.8991666666666667
zero_day,RandomForest,0.6694175925925927,0.8407084814398476,0.8226181254841208,0.8
zero_day,LogisticRegression,0.5535479166666667,0.8161987047140802,0.7664940926589672,0.9291666666666667
zero_day,SVM,0.5336261574074075,0.7741201612213537,0.7782987273945077,0.9658333333333333
zero_day,LSTM,0.6092020833333334,0.8099421129491653,0.8288050646267475,0.9
zero_day,GRU,0.5218969907407407,0.7795032486151148,0.7699127302950547,1.0
zero_day,TemporalCNN,0.524540162037037,0.8214065321438759,0.7560307732429261,1.0
zero_day,IsolationForest,0.6945777777777778,0.8733702342047387,0.45322682362833716,0.6283333333333333
zero_day,OneClassSVM,0.4866666666666667,0.7519374166831188,0.34146341463414637,0.8
zero_day,Autoencoder,0.5873145833333333,0.8432429335959821,0.06866952789699571,0.9575
zero_day,QuantumKernel,0.37435897435897436,0.7230397446476916,0.871331828442438,0.9818181818181818
zero_day,VQC,0.5858741258741259,0.8170622631682538,0.6258064516129033,0.9272727272727272
zero_day,Q-TRACE,0.6300856481481482,0.8585207780178938,0.16279663179382495,0.9333333333333333
physical_shift,XGBoost,0.48027604166666665,0.785202430579454,0.7035036698518211,1.0
physical_shift,RandomForest,0.46049884259259255,0.7840479589529683,0.8284110324627777,1.0
physical_shift,LogisticRegression,0.7555108796296297,0.9179093751097418,0.8571428571428571,0.9525
physical_shift,SVM,0.35370717592592593,0.7032440015570263,0.15694744420446363,1.0
physical_shift,LSTM,0.49300115740740735,0.7714289204382778,0.7049133768815677,0.9991666666666666
physical_shift,GRU,0.6579693287037036,0.8022232047963491,0.8443993917891536,0.8
physical_shift,TemporalCNN,0.6024866898148149,0.8579450573860021,0.630182978009065,0.8
physical_shift,IsolationForest,0.5907425925925927,0.8190978128217101,0.7677532013969732,0.9991666666666666
physical_shift,OneClassSVM,0.33999999999999997,0.6885055656821712,0.21052631578947367,1.0
physical_shift,Autoencoder,0.6884152777777779,0.8700274558184983,0.08306709265175719,0.8241666666666667
physical_shift,QuantumKernel,0.5032167832167833,0.7665273380820388,0.8658823529411764,0.8727272727272727
physical_shift,VQC,0.2814918414918415,0.6693619251502714,0.4919093851132686,1.0
physical_shift,Q-TRACE,0.6302090277777778,0.8436338359266424,0.08967895993632263,0.9808333333333333
compositional,XGBoost,0.6617940104166667,0.9022286219384489,0.8695321414986686,0.94
compositional,RandomForest,0.7465836805555557,0.9356776690431776,0.8752013645408888,0.9341666666666667
compositional,LogisticRegression,0.788754513888889,0.9452438703833762,0.8990914363038855,0.7016666666666667
compositional,SVM,0.5494774305555556,0.8354137401372885,0.8635691032849956,0.8
compositional,LSTM,0.6637025173611111,0.8824778135927472,0.8104333538714314,0.9991666666666666
compositional,GRU,0.7059089409722223,0.8815132007328129,0.8340901890379132,0.8733333333333333
compositional,TemporalCNN,0.7132310763888888,0.9152611858065682,0.8424015009380863,0.9991666666666666
compositional,IsolationForest,0.6469149305555555,0.8285446085085039,0.6515943544171459,0.9116666666666666
compositional,OneClassSVM,0.46249999999999997,0.791169158290133,0.2857142857142857,0.9
compositional,Autoencoder,0.7216388888888888,0.9235537735195081,0.02631578947368421,0.9416666666666667
compositional,QuantumKernel,0.3405229479258606,0.7704727999779388,0.8783783783783784,0.9772727272727273
compositional,VQC,0.4668468667255075,0.8419927525310389,0.6036585365853658,1.0
compositional,Q-TRACE,0.6712243055555556,0.9045077523202183,0.11283664242185965,0.9433333333333334
