,SKRR,attack_detected_rate,attack_missed_rate,normal_gated_rate,n_attack_windows,n_normal_windows
Q-TRACE (top-decile),0.8735367868395816,0.13305555555555557,0.8669444444444444,0.0008333333333333334,3600.0,1200.0
Q-TRACE (50% recall target),0.5102352851799365,0.5,0.5,0.29333333333333333,3600.0,1200.0
Q-TRACE (80% recall target),0.21588916118249415,0.8,0.19999999999999996,0.7225,3600.0,1200.0
Q-TRACE (95% recall target),0.05251409853292607,0.95,0.050000000000000044,0.9333333333333333,3600.0,1200.0
Static QBER Threshold,1.0,0.0,1.0,0.0,3600.0,1200.0
No Detection (baseline),1.0,0.0,1.0,0.0,3600.0,1200.0
