split,model,AUROC,AUPRC,F1,FAR
known (val),XGBoost,0.8103620370370371,0.9363406301601753,0.8532629196529612,0.7983333333333333
known (val),RandomForest,0.8451712962962963,0.948417713192818,0.8753262896208825,0.6066666666666667
known (val),LogisticRegression,0.8049182870370372,0.9336470646011931,0.8404452690166976,0.7066666666666667
known (val),SVM,0.742382175925926,0.8947051293008108,0.8627049180327869,0.7
known (val),LSTM,0.8113798611111112,0.9290484994078029,0.8785046728971962,0.5991666666666666
known (val),GRU,0.7689690972222222,0.9169710270111604,0.8680555555555556,0.735
known (val),TemporalCNN,0.7801134259259259,0.9215182965914039,0.8289322617680827,0.8983333333333333
known (val),IsolationForest,0.6544291666666666,0.8444912287162496,0.672254819782062,0.9625
known (val),OneClassSVM,0.6321164351851853,0.8468538820212141,0.2857142857142857,0.9
known (val),Autoencoder,0.7730606481481481,0.9295617657603064,0.05405405405405406,0.965
known (val),QuantumKernel,0.5184149184149184,0.8251183100508102,0.8764044943820225,0.8363636363636363
known (val),VQC,0.43668997668997667,0.7545865208387577,0.6060606060606061,1.0
known (val),Q-TRACE,0.6879118055555555,0.8937966062417244,0.07846277021617294,0.97
zero_day,XGBoost,0.26503622685185185,0.6137366969100726,0.7654320987654321,1.0
zero_day,RandomForest,0.19888541666666665,0.5929529992120164,0.7678090103966114,1.0
zero_day,LogisticRegression,0.3748814814814815,0.6599931546580597,0.661521839790091,0.9075
zero_day,SVM,0.39612685185185187,0.7125452098683318,0.6979519869795199,1.0
zero_day,LSTM,0.2612988425925926,0.6530272680539972,0.5828483920367534,1.0
zero_day,GRU,0.4033224537037037,0.7310021989870775,0.755509463313456,1.0
zero_day,TemporalCNN,0.4418798611111111,0.7321440601527853,0.498174865287676,0.8691666666666666
zero_day,IsolationForest,0.4391071759259259,0.7516684703509255,0.5843028019007046,1.0
zero_day,OneClassSVM,0.3833333333333333,0.7189903543089429,0.22857142857142856,1.0
zero_day,Autoencoder,0.6565189814814815,0.8818464998574528,0.12646370023419204,0.9825
zero_day,QuantumKernel,0.34526806526806525,0.6928460626507714,0.8733031674208145,0.9090909090909091
zero_day,VQC,0.5138927738927739,0.8152156178385415,0.6666666666666666,1.0
zero_day,Q-TRACE,0.6579298611111111,0.8765681264025997,0.1683621566632757,0.9616666666666667
physical_shift,XGBoost,0.6157100694444444,0.8188043850214207,0.8571428571428571,0.8991666666666667
physical_shift,RandomForest,0.656616087962963,0.8732456855742466,0.8584714439012758,0.8
physical_shift,LogisticRegression,0.687149074074074,0.8865118678662159,0.5191279308926368,0.8908333333333334
physical_shift,SVM,0.6034641203703703,0.8245692804508791,0.7419918462434478,0.9991666666666666
physical_shift,LSTM,0.6801924768518519,0.8157530030627664,0.6788233270256322,0.8983333333333333
physical_shift,GRU,0.5432796296296296,0.833287540748652,0.8560533841754051,0.9075
physical_shift,TemporalCNN,0.6492116898148148,0.8716972922174312,0.5565015479876161,0.8991666666666667
physical_shift,IsolationForest,0.5966446759259258,0.8396593965410382,0.432726511822557,0.9616666666666667
physical_shift,OneClassSVM,0.4633333333333333,0.7267082994607593,0.38095238095238093,0.9
physical_shift,Autoencoder,0.6091173611111111,0.8531503026593784,0.061389337641357025,0.8991666666666667
physical_shift,QuantumKernel,0.4606993006993007,0.7786129592638957,0.8525345622119815,0.9636363636363636
physical_shift,VQC,0.46783216783216786,0.7517577179386961,0.4859154929577465,1.0
physical_shift,Q-TRACE,0.5382342592592593,0.810798948818394,0.0815347721822542,0.9891666666666666
compositional,XGBoost,0.6696658854166666,0.893953818190304,0.8660640920295809,0.7916666666666666
compositional,RandomForest,0.645334375,0.8831527932050334,0.8500356815169742,0.7
compositional,LogisticRegression,0.8062996527777777,0.9469084790537249,0.876463762000211,0.8116666666666666
compositional,SVM,0.5946227430555555,0.8665952892507456,0.8595188595188595,0.8141666666666667
compositional,LSTM,0.6013282986111111,0.8231035131268634,0.8007820986313274,1.0
compositional,GRU,0.5949396701388889,0.8141878075677617,0.8317757009345794,1.0
compositional,TemporalCNN,0.8476692708333333,0.9583444702003423,0.8515497553017944,0.505
compositional,IsolationForest,0.9031822916666667,0.9767194815132421,0.6787778695293146,0.6183333333333333
compositional,OneClassSVM,0.5968958333333334,0.8207368418003986,0.41509433962264153,0.8
compositional,Autoencoder,0.8152836805555554,0.9517553863866561,0.018575851393188854,0.7708333333333334
compositional,QuantumKernel,0.612422771403354,0.894110632764735,0.9035087719298246,0.9318181818181818
compositional,VQC,0.353045013239188,0.7407275481508213,0.630057803468208,0.9318181818181818
compositional,Q-TRACE,0.8097909722222223,0.9485737893657971,0.018984729673957902,0.8175
