,SKRR,attack_detected_rate,attack_missed_rate,normal_gated_rate,n_attack_windows,n_normal_windows
Q-TRACE (top-decile),0.9241535292997414,0.1325,0.8674999999999999,0.0025,3600.0,1200.0
Q-TRACE (50% recall target),0.5937629839264799,0.5,0.5,0.185,3600.0,1200.0
Q-TRACE (80% recall target),0.19586945748715356,0.8,0.19999999999999996,0.7791666666666667,3600.0,1200.0
Q-TRACE (95% recall target),0.042180361294684304,0.95,0.050000000000000044,0.9616666666666667,3600.0,1200.0
Static QBER Threshold,1.0,0.0,1.0,0.0,3600.0,1200.0
No Detection (baseline),1.0,0.0,1.0,0.0,3600.0,1200.0
