config,AUROC,AUPRC,F1,FAR
Q-TRACE (full),0.6579298611111111,0.8765681264025997,0.1683621566632757,0.9616666666666667
Q-TRACE - physics,0.6563749999999999,0.8786739383695922,0.023064250411861616,0.9733333333333334
Q-TRACE - quantum,0.666643287037037,0.8840241931871637,0.06607574536663981,0.9683333333333334
Q-TRACE - temporal,0.6315581018518519,0.8601210106570942,0.03600654664484452,0.96
Q-TRACE - uncertainty,0.6622578703703703,0.8807722509304373,0.04930913031698727,0.9608333333333333
