split,model,AUROC,AUPRC,F1,FAR
known (val),XGBoost,0.6359659722222222,0.857137171576756,0.8387785038005068,0.7
known (val),RandomForest,0.6950722222222222,0.8897961514325333,0.8430637386181039,0.995
known (val),LogisticRegression,0.7042527777777777,0.8907376985168003,0.8368386675375572,0.8
known (val),SVM,0.7019069444444446,0.8858458059005537,0.8044048243314106,0.9
known (val),LSTM,0.7741402777777777,0.9265217498222791,0.7622118329840399,0.9
known (val),GRU,0.8197619212962962,0.9432389961326548,0.8201802941641626,0.9008333333333334
known (val),TemporalCNN,0.7006747685185186,0.8935874426223864,0.7974947807933194,0.7116666666666667
known (val),IsolationForest,0.477337962962963,0.7785805895686775,0.3504594820384294,1.0
known (val),OneClassSVM,0.4733333333333333,0.7507287419919584,0.4888888888888889,0.9
known (val),Autoencoder,0.7237664351851852,0.9096939952247127,0.04666304937601736,0.9841666666666666
known (val),QuantumKernel,0.542937062937063,0.8196071870925833,0.8733031674208145,0.9272727272727272
known (val),VQC,0.5338927738927739,0.7866461388403203,0.7085714285714285,0.9454545454545454
known (val),Q-TRACE,0.6108275462962963,0.8503151490072871,0.10376613115617593,0.9225
zero_day,XGBoost,0.44980891203703705,0.720889243013547,0.8161094224924013,0.905
zero_day,RandomForest,0.6277928240740741,0.8249978370467962,0.8233316088980859,1.0
zero_day,LogisticRegression,0.5602363425925926,0.8230590198448158,0.7647534357316087,0.9991666666666666
zero_day,SVM,0.6105925925925926,0.8166502993326888,0.873525307624001,0.7
zero_day,LSTM,0.512521875,0.7690692127478432,0.699578567128236,0.9
zero_day,GRU,0.5558166666666667,0.7789168299217067,0.7297853572478683,0.87
zero_day,TemporalCNN,0.4861849537037037,0.773086259068313,0.7628694324961842,0.9958333333333333
zero_day,IsolationForest,0.581374074074074,0.8303931612916426,0.5151395988989382,0.9808333333333333
zero_day,OneClassSVM,0.41000000000000003,0.7451039199279788,0.4,1.0
zero_day,Autoencoder,0.7010149305555555,0.8908675643005568,0.012147984538928768,0.9608333333333333
zero_day,QuantumKernel,0.5462937062937062,0.8231226445082677,0.8662131519274376,0.9454545454545454
zero_day,VQC,0.3782284382284382,0.6902003698125969,0.6966292134831461,0.9454545454545454
zero_day,Q-TRACE,0.7523486111111111,0.9003247509417023,0.03868155815853991,0.85
physical_shift,XGBoost,0.6899424768518518,0.8954274313211362,0.801854869031207,1.0
physical_shift,RandomForest,0.4322162037037037,0.717197802460845,0.8571428571428571,0.8
physical_shift,LogisticRegression,0.5941106481481482,0.8592405721987527,0.3232417326502096,0.9983333333333333
physical_shift,SVM,0.4936837962962963,0.7988525596538291,0.8405797101449275,1.0
physical_shift,LSTM,0.6331648148148148,0.8748359514450331,0.7568157033805889,0.9
physical_shift,GRU,0.5467331018518519,0.7911467522764636,0.6837294332723949,0.9991666666666666
physical_shift,TemporalCNN,0.6916293981481481,0.8942164967371348,0.4700382490437739,0.9725
physical_shift,IsolationForest,0.669600462962963,0.871297889670703,0.648630594522378,0.86
physical_shift,OneClassSVM,0.41000000000000003,0.7333763582370689,0.3333333333333333,1.0
physical_shift,Autoencoder,0.7599418981481482,0.9194554102121777,0.034934497816593885,0.8166666666666667
physical_shift,QuantumKernel,0.4648018648018648,0.8116799469488635,0.8662131519274376,1.0
physical_shift,VQC,0.4178554778554779,0.7963822586508367,0.5784615384615385,1.0
physical_shift,Q-TRACE,0.7135122685185185,0.8875124458719937,0.061389337641357025,0.795
compositional,XGBoost,0.6186352430555556,0.8722273719062454,0.8229051957152869,1.0
compositional,RandomForest,0.6717614583333333,0.9099433749205055,0.8259958071278826,1.0
compositional,LogisticRegression,0.7932432291666667,0.9486093747720695,0.8679623321979564,0.8441666666666666
compositional,SVM,0.5563986111111112,0.8686734608178648,0.8397790055248618,0.9
compositional,LSTM,0.7814507812499999,0.9243128713903215,0.8733569789276028,0.7008333333333333
compositional,GRU,0.6390190972222222,0.8679618615293608,0.8216458533461415,0.9983333333333333
compositional,TemporalCNN,0.7734045138888888,0.9400199139569079,0.8488621287886519,0.8
compositional,IsolationForest,0.8636380208333333,0.965385925316531,0.6501687289088864,0.6416666666666667
compositional,OneClassSVM,0.5525,0.8006874746660241,0.4642857142857143,0.9
compositional,Autoencoder,0.8100998263888888,0.9524491847016667,0.018575851393188854,0.8133333333333334
compositional,QuantumKernel,0.42155781112091795,0.8168670673502896,0.8764044943820225,1.0
compositional,VQC,0.47043248014121797,0.8162163598077058,0.6376811594202898,0.8636363636363636
compositional,Q-TRACE,0.8072968749999999,0.9413167989135672,0.039616091484582394,0.8275
