,SKRR,attack_detected_rate,attack_missed_rate,normal_gated_rate,n_attack_windows,n_normal_windows
Q-TRACE (top-decile),0.9259805925356196,0.13166666666666665,0.8683333333333334,0.005,3600.0,1200.0
Q-TRACE (50% recall target),0.6573475985598376,0.5,0.5,0.16166666666666665,3600.0,1200.0
Q-TRACE (80% recall target),0.3570935608460539,0.8,0.19999999999999996,0.45,3600.0,1200.0
Q-TRACE (95% recall target),0.09781931317356392,0.95,0.050000000000000044,0.85,3600.0,1200.0
Static QBER Threshold,1.0,0.0,1.0,0.0,3600.0,1200.0
No Detection (baseline),1.0,0.0,1.0,0.0,3600.0,1200.0
