config,AUROC,AUPRC,F1,FAR
Q-TRACE (full),0.7523486111111111,0.9003247509417023,0.03868155815853991,0.85
Q-TRACE - physics,0.7098715277777777,0.8936278043146502,0.009400055294442908,0.9441666666666667
Q-TRACE - quantum,0.7559666666666667,0.9010902419381643,0.011049723756906077,0.8341666666666666
Q-TRACE - temporal,0.7273233796296296,0.8840239616864287,0.013245033112582781,0.8608333333333333
Q-TRACE - uncertainty,0.7618263888888889,0.9061889196473257,0.014340871483728626,0.8358333333333333
