,SKRR,attack_detected_rate,attack_missed_rate,normal_gated_rate,n_attack_windows,n_normal_windows
Q-TRACE (top-decile),0.9262382061085442,0.1313888888888889,0.8686111111111111,0.005833333333333334,3600.0,1200.0
Q-TRACE (50% recall target),0.6568622869889514,0.5,0.5,0.1625,3600.0,1200.0
Q-TRACE (80% recall target),0.35825217718455776,0.8,0.19999999999999996,0.4483333333333333,3600.0,1200.0
Q-TRACE (95% recall target),0.09901398863187603,0.95,0.050000000000000044,0.8483333333333334,3600.0,1200.0
Static QBER Threshold,1.0,0.0,1.0,0.0,3600.0,1200.0
No Detection (baseline),1.0,0.0,1.0,0.0,3600.0,1200.0
