iteration,best_risk_so_far,mean_strength,mean_onset,sigma_strength,sigma_onset,reinflated
0,0.5182824800898258,0.8931886212134892,0.2331642446357607,0.48223050229109987,0.05871078955415231,False
1,0.49016129412506126,0.6561807264692082,0.24079497765744126,0.49226717016729454,0.048,False
2,0.49016129412506126,0.2470198433806074,0.22969100517446156,0.13885057370411108,0.048,False
3,0.47844129677174363,0.1618880966521559,0.22465714077351787,0.10800000000000001,0.048,False
4,0.32381859967850996,0.17012109972702788,0.2090998075374361,0.10800000000000001,0.048,False
5,0.2288248062976859,0.15997760473674844,0.18427166173787274,0.10800000000000001,0.048,False
6,0.2288248062976859,0.16293944412941885,0.15275093266130532,0.10800000000000001,0.048,False
7,0.2288248062976859,0.19990969743130574,0.1396067229463236,0.10800000000000001,0.048,False
8,0.2288248062976859,0.2090982452135391,0.10994278496722613,0.10800000000000001,0.048,False
9,0.2288248062976859,0.18648181576651143,0.12882431981160603,0.10800000000000001,0.048,False
10,0.2288248062976859,0.17107093086819436,0.1339814376901549,0.10800000000000001,0.048,False
11,0.2288248062976859,0.15,0.1502707308766082,0.405,0.18,True
12,0.2288248062976859,0.23074094529989247,0.11561853114467924,0.10800000000000001,0.048,False
13,0.2288248062976859,0.19853804651821175,0.14319418668239867,0.10800000000000001,0.048,False
14,0.2288248062976859,0.23276112111780217,0.13473375672673094,0.10800000000000001,0.048,False
15,0.2288248062976859,0.19093931178454104,0.14466919015860288,0.10800000000000001,0.048,False
16,0.2288248062976859,0.24500769511634368,0.14732437953228802,0.10800000000000001,0.048,False
17,0.2288248062976859,0.15,0.1502707308766082,0.405,0.18,True
18,0.2288248062976859,0.17383914729138045,0.2139910373235453,0.10800000000000001,0.1389187876599489,False
19,0.2288248062976859,0.1752329305078699,0.18506017247923534,0.10800000000000001,0.05561866448352583,False
20,0.2288248062976859,0.1991897583112307,0.12570619714674733,0.10800000000000001,0.048,False
21,0.2288248062976859,0.2479466636408906,0.11963682842612203,0.12498665604785798,0.048,False
22,0.2288248062976859,0.20952795634836152,0.1376199888964707,0.10800000000000001,0.048,False
23,0.2288248062976859,0.15,0.1502707308766082,0.405,0.18,True
24,0.2288248062976859,0.18195443370962955,0.2705750960953064,0.10800000000000001,0.15458644447191983,False
25,0.2288248062976859,0.15882337493429025,0.2808387550088854,0.10800000000000001,0.13909886717004744,False
26,0.2288248062976859,0.22692232205454946,0.23638604025512183,0.10800000000000001,0.0792496995502505,False
27,0.2288248062976859,0.1772658302692986,0.20450962285848426,0.10800000000000001,0.08027833043509743,False
28,0.2288248062976859,0.20233331904782345,0.12207563005202005,0.10800000000000001,0.048,False
29,0.2288248062976859,0.15,0.1502707308766082,0.405,0.18,True
30,0.2288248062976859,0.15,0.10778949584113612,0.10800000000000001,0.048,False
31,0.2288248062976859,0.19606223063354444,0.12172740609646056,0.10800000000000001,0.048,False
32,0.2288248062976859,0.18814123821632686,0.11472361951534413,0.10800000000000001,0.048,False
33,0.2288248062976859,0.1712153597506878,0.13723514938313447,0.10800000000000001,0.048,False
34,0.2288248062976859,0.17951789517186126,0.1562492099623159,0.10800000000000001,0.048,False
35,0.2288248062976859,0.15,0.1502707308766082,0.405,0.18,True
36,0.2288248062976859,0.15,0.1510285405752523,0.10800000000000001,0.08838402491242701,False
37,0.2288248062976859,0.22815415295926786,0.12897280730945335,0.10800000000000001,0.048,False
38,0.2288248062976859,0.24569985255122603,0.15380945712809277,0.10800000000000001,0.048,False
39,0.2288248062976859,0.23864198632374994,0.14155019282150405,0.10800000000000001,0.048,False
40,0.2288248062976859,0.1768877562844047,0.1223881575657075,0.10800000000000001,0.048,False
41,0.2288248062976859,0.15,0.1502707308766082,0.405,0.18,True
42,0.2288248062976859,0.18309290137678733,0.32167006426841116,0.10800000000000001,0.1651976885253142,False
43,0.2288248062976859,0.20708360238030654,0.38013940656699663,0.10800000000000001,0.1705613043897766,False
44,0.2288248062976859,0.2600523491091636,0.33557133920434046,0.1111145242260515,0.18110144954401752,False
45,0.2288248062976859,0.21331350059452672,0.20130456053509235,0.10800000000000001,0.12284423841904163,False
46,0.2288248062976859,0.18537215313468208,0.17577132624676242,0.10800000000000001,0.048,False
47,0.2288248062976859,0.15,0.1502707308766082,0.405,0.18,True
48,0.2288248062976859,0.22585882137908653,0.1,0.13139133283087007,0.048,False
49,0.2288248062976859,0.2132271683126426,0.1,0.10800000000000001,0.048,False
50,0.2288248062976859,0.19089120729047648,0.11629745315040713,0.10800000000000001,0.048,False
51,0.2288248062976859,0.17369402932210865,0.14376263675380693,0.10800000000000001,0.048,False
52,0.2288248062976859,0.1521058287726445,0.1259754676507033,0.10800000000000001,0.048,False
53,0.2288248062976859,0.15,0.1502707308766082,0.405,0.18,True
54,0.2288248062976859,0.2687122706010178,0.2517485937911289,0.18887092683311024,0.10342389260460598,False
55,0.2288248062976859,0.15836471774732946,0.20787336593902547,0.10800000000000001,0.048,False
56,0.2288248062976859,0.1594838832605674,0.20992578348045815,0.10800000000000001,0.048,False
57,0.2288248062976859,0.15325374189698016,0.2174834191541578,0.10800000000000001,0.048,False
58,0.2288248062976859,0.17435566337027023,0.20415275611487738,0.10800000000000001,0.05088357207380558,False
59,0.2288248062976859,0.15,0.1502707308766082,0.405,0.18,True
