config,AUROC,AUPRC,F1,FAR
Q-TRACE (full),0.7528493055555556,0.9000062683862473,0.03547066848567531,0.8475
Q-TRACE - physics,0.7108722222222222,0.8942612010512294,0.009400055294442908,0.9433333333333334
Q-TRACE - quantum,0.7559666666666667,0.9010902419381643,0.011049723756906077,0.8341666666666666
Q-TRACE - temporal,0.7278967592592593,0.8834741043187005,0.0115990057995029,0.8575
Q-TRACE - uncertainty,0.7623722222222222,0.9062432681431951,0.014340871483728626,0.8358333333333333
