iteration,best_risk_so_far,mean_strength,mean_onset,sigma_strength,sigma_onset,reinflated
0,0.3938961350146603,0.9736027397602202,0.2872511617168063,0.2368799549502249,0.0685112467910064,False
1,0.34311640518645925,0.8563781095475453,0.2906823338988934,0.2599952879504401,0.048,False
2,0.34311640518645925,0.7456519767754533,0.287500222872449,0.21532452973752636,0.048,False
3,0.34311640518645925,0.7989769521713201,0.27212147933496755,0.10800000000000001,0.048,False
4,0.34311640518645925,0.7053680270434348,0.2462610703464135,0.1127111806648501,0.048,False
5,0.34311640518645925,0.7023023293982502,0.25842776785961075,0.10800000000000001,0.051845874876497215,False
6,0.34311640518645925,0.6430433686004635,0.2800161137291676,0.10800000000000001,0.048,False
7,0.34311640518645925,0.574964624072773,0.26430777078083734,0.405,0.18,True
8,0.34311640518645925,0.5564083441070268,0.3474946821407678,0.1784310562259446,0.19269603577450084,False
9,0.34311640518645925,0.6865683662424009,0.21981968196957405,0.11400197002478761,0.07502143911644592,False
10,0.34311640518645925,0.7547981925179591,0.25396741927340033,0.10800000000000001,0.048,False
11,0.34311640518645925,0.7398765983791746,0.24097856837845155,0.10800000000000001,0.048,False
12,0.34311640518645925,0.7144330321967219,0.22786753282016306,0.12241289327042415,0.048,False
13,0.34311640518645925,0.574964624072773,0.26430777078083734,0.405,0.18,True
14,0.34311640518645925,0.8999794932060212,0.29791046707808566,0.3204632557244938,0.2149801940224973,False
15,0.34311640518645925,1.0892706282552955,0.4156620193202837,0.29827034842233113,0.04863983043712526,False
16,0.34311640518645925,1.2393423434079573,0.4245777004422786,0.20177270391947755,0.048,False
17,0.34311640518645925,1.2056288901714387,0.42488640783653087,0.15355177420187585,0.048,False
18,0.34311640518645925,1.2071452886319423,0.4137735940751387,0.13626346130237957,0.05161939242973065,False
19,0.34311640518645925,0.574964624072773,0.26430777078083734,0.405,0.18,True
20,0.34311640518645925,0.4562924360388565,0.18946428092844175,0.2847639501599752,0.057744719534077386,False
21,0.34311640518645925,0.6335608075165208,0.14473945668164961,0.24016938970161833,0.048,False
22,0.3245054735430235,0.44950249662237163,0.1462341165546824,0.19083294281306418,0.048,False
23,0.3245054735430235,0.3717900486322959,0.14794561518472332,0.17227130391137271,0.048,False
24,0.3245054735430235,0.34688865731047597,0.1474364459888107,0.10800000000000001,0.048,False
25,0.3245054735430235,0.34426424046108034,0.14963336248531497,0.10800000000000001,0.048,False
26,0.3245054735430235,0.34130767053538014,0.15741298107047358,0.20732344490388435,0.048,False
27,0.3104851459209323,0.26135618330374055,0.14508717665765594,0.10800000000000001,0.048,False
28,0.3104851459209323,0.2838674521195209,0.1456124845593206,0.10800000000000001,0.048,False
29,0.3104851459209323,0.29757549973320013,0.19329955113523128,0.10800000000000001,0.048,False
30,0.3104851459209323,0.29932763753101754,0.19002501354209655,0.10800000000000001,0.048,False
31,0.3104851459209323,0.25676781662841813,0.229769635170953,0.10800000000000001,0.048,False
32,0.3104851459209323,0.235324946667622,0.23792724100701784,0.10800000000000001,0.048,False
33,0.3104851459209323,0.38807151349459806,0.20290016234319197,0.405,0.18,True
34,0.3104851459209323,0.4481060778785954,0.29882003489722464,0.2992026122580039,0.08680227386195419,False
35,0.3104851459209323,0.4590837650602777,0.31100357488873,0.19117464745922344,0.048,False
36,0.3104851459209323,0.4961957923469459,0.31872315083435904,0.29569816916041847,0.05465980716292045,False
37,0.3104851459209323,0.6831097235545445,0.3254121556322728,0.280977780638142,0.05991931716701926,False
38,0.3104851459209323,0.5890079471707111,0.2887060009490587,0.30907542808729427,0.06332546503848144,False
39,0.3104851459209323,0.38807151349459806,0.20290016234319197,0.405,0.18,True
40,0.3104851459209323,0.29234097481489224,0.23425485338611696,0.1431978216297833,0.11990415163655489,False
41,0.3104851459209323,0.32412931992477917,0.29769787788717755,0.10800000000000001,0.12702194270108225,False
42,0.3104851459209323,0.26655623780306575,0.3929128795253549,0.10800000000000001,0.1809238186713202,False
43,0.3104851459209323,0.2743914968285929,0.4609758051943652,0.10800000000000001,0.1676755391768164,False
44,0.29410125868371123,0.2517696015114569,0.41011271836866053,0.10800000000000001,0.19781988382106236,False
45,0.29410125868371123,0.2108076873763155,0.35259869351760476,0.10800000000000001,0.16009216867637857,False
46,0.29410125868371123,0.2230477708283805,0.32104008938984796,0.10800000000000001,0.1877176928817424,False
47,0.29410125868371123,0.21645468331906484,0.20025036340483407,0.10800000000000001,0.0995312559310154,False
48,0.29410125868371123,0.15090719440130557,0.13227424258379003,0.10800000000000001,0.048,False
49,0.29410125868371123,0.1698795486560033,0.12141231710240705,0.10800000000000001,0.048,False
50,0.29410125868371123,0.3792745095654673,0.4656744405128427,0.405,0.18,True
51,0.29410125868371123,0.2226082188986703,0.395498572758471,0.10800000000000001,0.14933392587463748,False
52,0.29410125868371123,0.21969112723730833,0.37102156261078567,0.10800000000000001,0.1602873974503155,False
53,0.29410125868371123,0.2085466181955952,0.5279556846061669,0.10800000000000001,0.15076103245918301,False
54,0.29410125868371123,0.18363265066236142,0.6056913550254103,0.10800000000000001,0.07825451746262677,False
55,0.29410125868371123,0.20723413364441295,0.6490196364066964,0.10800000000000001,0.048,False
56,0.29410125868371123,0.3792745095654673,0.4656744405128427,0.405,0.18,True
57,0.29410125868371123,0.22955160126833618,0.37108134133048953,0.137787415220219,0.16380336717142238,False
58,0.29410125868371123,0.25506113385200757,0.4426393190000711,0.10800000000000001,0.17869443324148176,False
59,0.29410125868371123,0.22687877696511322,0.43337682043378567,0.10800000000000001,0.15440472609133032,False
